food,service,ambience,price
Tasted neither gamey nor musky that I disfavor in lamb meat. ,He was attentive and really explained the menu.,The ambiance is a bright combination of colorful pop art walled skateboards and 80s paraphernalia (from a lunchbox collection to Transformers figures to a tipsy+AC0-looking Yoda watching over their booze selection). ,
For dessert the chocolate crunch is a self explanatory winner.,Very friendly throughout.,which was silenced by energizing punk music.,
Fresh savory beautiful.,the restaurant is well run with friendly fast service.,there are some old arcade games in the back room,
I love bone marrow dishes.,This place has such good service and is super friendly,The vibrant colors called to me like a siren.,
I liked that although this dish did have butter to make it rich and savory it was not too oily like some other bone marrow dishes. ,They seem to genuinely care about the service they provide and the food they serve.,My heart screamed with excitement when I walked in but dropped when I saw 2 arcade games and a pac man table in a box sized room.  ,
The root vegetables added a nice contrast and the toast added a nice texture to the dish.,Friendly staff. ,we love the atmosphere,
I really liked the few pieces of montamore cheese.,Staff and service are good. ,and I personally enjoyed the 80s tunes throughout the meal too.,
There were a few pieces of what seemed to be very toasted peanuts that added an interesting texture.,Staff is super nice and explains everything to you.,Ambience: I loved the ambience because it was chill and there's stuff to do for everyone.,
Berbere Spiced Lentil +ACY- Grilled Chicken Soup with grilled baguette: flavorful. The chicken was very tender. ,Our server was super friendly and helpful in teaching us how to order off the menu and getting our drink orders in. ,Parking: theres plenty of side street parking but be aware that it's really close to Wrigley Field so watch out for traffic and parking spots when there's Cubs games,
At first bite the lemon+AC0-thyme sorbet made me pucker my face because it was sour.,Great attentive service as well.,Great casual ambience good for a fun date night or large groups. ,
after combining all the different elements of the dish made it complex balanced and delicious.,Jonathan served us and explained all options we have.,,
I loved the food I complimented the chefs for serving such delicious dishes.,Service was excellent and very attentive.,,
We also got the Umami Donuts +AC0- this has to be one of the most unique starters I have ever tried. ,Our waitress was very nice but we had a few problems throughout the night.,,
For first course we tried the Bone Marrow +AC0- this was my first experience eating it.,Our food took over 30 minutes to get to our table the corn and potatoes we ordered didn't come and we were double charged for sides. ,,
I was pleased by the texture and flavors.,Jonathan our server for the night was extremely thorough on explaining the available seafood options market prices add+AC0-ons levels of spiciness (YOU NEED TO KNOW THIS) and other miscellaneous information that you may want to find out before placing your orders.  ,,
The salsa that comes with it was amazing and the bread was perfect.,The bartender (forgot his name +AC0- he was great) did an excellent job of giving me a full rundown on the entire menu along with whats popular and his favorites.,,
We split a few things for our main course +AC0- Pork Tagliatelle Strip Loin Portuguese Spiced Chicken +ACY- the Gnocchi.,,,
My favorite was the Pork Tagliatelle +AC0- the noodles are 100+ACU- homemade you can really taste the difference here.,,,
We split one dessert +AC0- Lemon+AC0-Granny Smith Apple Namelaka +AC0- the olive oil cake was insane and the sauce that was on the bottom I could have eaten with a spoon.,,,
The unami donuts were dry and didn't have a lot of flavor without the sauce.,,,
when the food came out it was cold.,,,
my boyfriend's steak was cold chewy and overwhelmed by garlic.,,,
drinks were creative and food was fantastic.,,,
The namelaka dessert was a delightful finish to a rather hearty dinner. ,,,
the cocktail menu is unique and each cocktail was distinctly different and well edited just like their dishes.,,,
Every single dish was well thought out and edited. ,,,
I love homemade pasta but the richness and the touch of sweet apples made this pasta stand out.,,,
One person had the lentil +ACY- grilled chicken soup which was very flavorful.,,,
I had the catch of the day and it was delicious.,,,
The Smoked Tarjin pasta was one of our favorites dishes at Eden.,,,
Truly no way to describe it +AC0- savory meat filled dough balls covered in seasoning. ,,,
This pasta was our second favorite dish followed by the beet salad.,,,
The lamb was the best I have ever had.,,,
The recommended wine was a great pairing.,,,
both desserts were fabulous and if you like texture try these.,,,
The food was great creative dishes.,,,
Bone marrow appetizer decadent. ,,,
Specials were very good.,,,
The doughnut appetizers are a must+ACE-,,,
Chocolate and citrus desserts amazing as well.,,,
Everything is so fresh and tasty.,,,
Fluffy chewy doughy and crispy in all the right places. ,,,
 it was tasty and spicy.,,,
 It came with a side of order of rice that did not taste fresh.,,,
We had a number of dishes and appetizers everything was delicious and well spiced.,,,
We ordered their chef special fish hot pot with some extra veggies rabbit meat and crystal noodle,,,
Unlike most greasy and oily Szechuan restaurants their dishes looked and tasted very clean and fresh.,,,
We ordered the pork with beancurds sliced pickled fish soup shrimp with garlic sauce green onion pancake spicy beef and stir fried kidneys.,,,
The pickled fish soup was lacking flavor and I wish it came with noodles.,,,
The beancurds in the pork with beancurds were hard and were not cooked long enough. ,,,
the shrimp with garlic sauce was probably the most enjoyable.,,,
Most important is the authentically spiced often volcanically hot szechuan cuisine.,,,
Lamb with cumin is spicy but with flavors amenable to unprepared palates.,,,
We ordered the garlic bread sticks a small Felicity pizza and two beers. ,,,
The garlic bread sticks were flavorful and cheesy.,,,
A bit on the spicy side due to the jalapenos but it was good.,,,
Crust was very soft and chewy.,,,
Not my thing for thin crust pizza as I prefer a crispier texture.,,,
The pizza was fantastic super chewy crust with quality toppings.,,,
 they were probably the best garlic knots/bread stick+AC0-type side I've ever tasted. ,,,
Perfectly bite+AC0-sized soft knot balls with a delicious dousing of garlic butter.,,,
+ACI-Perfectly bite+AC0-sized, soft knot balls with a delicious dousing of garlic butter.+ACI-,,,
The crust is thin but chewy and delish. ,,,
The pizza is killer the burgers are also Devine+ACE-,,,
The salads are ok but this is not the type of place you go for a salad.,,,
Good beers on tap and did I mention great lunch specials.,,,
it was a pepperoni with jalape+APE-os with a spicy tomato sauce.,,,
 It was very thin with a bubbly crust.,,,
We also got a pizza with pepperoni spicy tomato sauce jalapenos bacon and mozzarella.,,,
 the pizza and the garlic knots were awesome. ,,,
Great pizza good beer and drink selection.,,,
Only had salads but the arugula was super fresh and the dressing was perfect.,,,
+ACI-The crust was awesome, and the pizza topping combination were expertly selected. +ACI-,,,
Great pizza and very tasty spinach salad.,,,
I got the Stop In Burger nice and juicy and flavorful.,,,
I like that there's no ketchup on it the thousand island is delicious.,,,
I also ordered the garlic knots and the pepperoni roll and those were awesome too.,,,
The pizza and burgers are delicious,,,
We ordered the Meatballs and Major Payne (half and half) and both were delicious.,,,
Lots of great beer choices.,,,
Their freshly made ranch dressing mmm mmm will actually get me to eat a salad+ACE- ,,,
The beer and ice cream worked well together.,,,
Very delicious pizza+ACE- Soft chewy crust neopolitan style with quality tasty toppings.,,,
The burger is cooked to perfection.,,,
nice and juicey. ,,,
The pizza was very crispy and delicious.,,,
The flavors just melt in your mouth.,,,
Went and ordered a couple of lbs of snow crab crawfish and head+AC0-off shrimp honey jalapeno cornbread FRIED pickles and some stiff cocktails.,,,
the spiciness is real and can make your stomach upset,,,
A bit smaller and less flavorful than I'm used to but the rest of the offerings were big meaty and delicious.,,,
Don't forget the appetizers too which I enjoyed more than the actual seafood boil I ordered+ACE-,,,
I got the fried shrimp and calamari and tried my friend's jalape+APE-o corn bread.,,,
+ACI-I got the fried shrimp and calamari, and tried my friend's jalape+APE-o corn bread.+ACI-,,,
our table consisted of bags of shrimp and crab leg accompanied by the jalape+APE-o cornbread.,,,
For the two of us we got 2 lbs of head on shrimp with everything and 1lb of snow crab with lemon garlic sauce.,,,
The seafood itself was absolutely delicious+ACE-,,,
The shrimps were bigger than I'm used to and I thoroughly enjoyed them with the sauce.,,,
Although the fries were crispy and had a good amount of seasoning,,,
+ACI-The +ACIAIg-everything+ACIAIg- seasoning was my second favorite.+ACI-,,,
We shared shrimps with heads on (tastiest part) mussels and crawfish. ,,,
We also enjoyed their jalape+APE-o cornbread.,,,
Beignets were more doughy than Cafe du Monde's famous version in New Orleans but were still delicious Yummy.,,,
The flavors are definitely there and I highly recommend you get the corn.,,,
We went with 1lb. shrimps (head+AC0-off) with sausages and everything seasoning and 1lb.,,,
snow crab legs with corn potatoes and lemon pepper seasoning.  ,,,
I thought the cornbread lacked flavor +ACY- was dry and a bit hard.,,,
his place is similar to the other seafood boil places where they offer the usual: shrimp clams mussels crab legs etc.,,,
I thought this was cool but I felt that the beignets tasted a little dry though.,,,
The honey butter jalapeno cornbread was good even though I don't like jalapenos or cornbread+ACE-,,,
It was so buttery.,,,
Sounds gross but it is actually delicious.,,,
All the sauces are so yummy.,,,
The sauce and spice level did not over power the natural flavor. ,,,
the seafood is really fresh and the sauces are delicious.,,,
I would pass on the desserts it was nothing too special.,,,
The garlic beignets are a must try they are so warm buttery and fluffly+ACE-,,,
